2021-07-18 23:40:32,395: Key.delete
2021-07-18 23:40:41,214: Key.backspace
2021-07-18 23:40:50,781: Key.ctrl_l
2021-07-18 23:40:50,783: Key.alt_gr
2021-07-18 23:40:50,908: '\\'
2021-07-18 23:40:54,880: Key.backspace
2021-07-18 23:41:02,420: Key.backspace
2021-07-18 23:41:40,989: Key.delete
2021-07-18 23:41:41,499: Key.delete
2021-07-18 23:41:42,280: Key.delete
2021-07-18 23:43:17,747: 'c'
2021-07-18 23:43:17,781: 'o'
2021-07-18 23:43:17,859: 'u'
2021-07-18 23:43:17,977: 'c'
2021-07-18 23:43:18,062: 'o'
2021-07-18 23:43:18,141: 'u'
2021-07-18 23:43:18,473: Key.backspace
2021-07-18 23:43:18,633: Key.backspace
2021-07-18 23:43:18,782: Key.backspace
2021-07-18 23:43:19,023: Key.backspace
2021-07-18 23:43:19,366: Key.backspace
2021-07-18 23:43:19,538: Key.backspace
2021-07-18 23:43:35,014: Key.ctrl_l
2021-07-18 23:43:35,398: '\x01'
2021-07-18 23:43:35,694: Key.backspace
2021-07-18 23:43:39,569: Key.ctrl_l
2021-07-18 23:43:39,831: '\x13'
2021-07-18 23:43:55,089: Key.ctrl_l
2021-07-18 23:43:55,539: '\x01'
2021-07-18 23:43:57,086: Key.ctrl_l
2021-07-18 23:43:57,587: Key.ctrl_l
2021-07-18 23:43:57,620: Key.ctrl_l
2021-07-18 23:43:57,652: Key.ctrl_l
2021-07-18 23:43:57,686: Key.ctrl_l
2021-07-18 23:43:57,719: Key.ctrl_l
2021-07-18 23:43:57,752: Key.ctrl_l
2021-07-18 23:43:57,785: Key.ctrl_l
2021-07-18 23:43:57,818: Key.ctrl_l
2021-07-18 23:43:57,851: Key.ctrl_l
2021-07-18 23:43:57,884: Key.ctrl_l
2021-07-18 23:43:57,917: Key.ctrl_l
2021-07-18 23:43:57,950: Key.ctrl_l
2021-07-18 23:43:57,983: Key.ctrl_l
2021-07-18 23:43:58,016: Key.ctrl_l
2021-07-18 23:43:58,049: Key.ctrl_l
2021-07-18 23:43:58,082: Key.ctrl_l
2021-07-18 23:43:58,115: Key.ctrl_l
2021-07-18 23:43:58,147: Key.ctrl_l
2021-07-18 23:43:58,181: Key.ctrl_l
2021-07-18 23:43:58,213: Key.ctrl_l
2021-07-18 23:43:58,247: Key.ctrl_l
2021-07-18 23:43:58,279: Key.ctrl_l
